common_name,species_group
Sonoyta mud turtle,Reptiles
Red lechwe,Mammals
Western hare wallaby,Mammals
Banded hare wallaby,Mammals
Yellow-tailed woolly monkey,Mammals
Pink mucket ,Clams
Higgins eye ,Clams
Arkansas fatmucket,Clams
Neosho Mucket,Clams
Speckled pocketbook,Clams
Alabama lampmussel,Clams
Alabama lampmussel,Clams
San Clemente loggerhead shrike,Birds
Banbury Springs limpet,Snails
Audouin's gull,Birds
Relict gull,Birds
Queensland hairy-nosed wombat ,Mammals
Hawaiian hoary bat,Mammals
Carolina heelsplitter,Clams
Eastern Black rail,Birds
Junin rail,Birds
African coelacanth,Fishes
Meltwater lednian stonefly,Insects
Round Island skink,Reptiles
Stephen Island frog,Amphibians
Birdwing pearlymussel,Clams
Birdwing pearlymussel,Clams
Birdwing pearlymussel,Clams
Lemurs,Mammals
Golden-rumped tamarin,Mammals
Ocelot,Mammals
Tiger cat,Mammals
Margay,Mammals
Kemp's ridley sea turtle,Reptiles
Olive ridley sea turtle,Reptiles
Olive ridley sea turtle,Reptiles
White River spinedace,Fishes
Big Spring spinedace,Fishes
Little Colorado spinedace,Fishes
Vernal pool tadpole shrimp,Crustaceans
Stick-nest rat,Mammals
Barbary serval,Mammals
White-browed tit-spinetail,Birds
Scaleshell mussel,Clams
Mexican long-nosed bat,Mammals
Greater adjutant,Birds
Cassius Blue Butterfly,Insects
Grenada gray-fronted dove,Birds
Round rocksnail,Snails
Interrupted  Rocksnail,Snails
Plicate rocksnail,Snails
Painted rocksnail,Snails
Flat pebblesnail,Snails
Semper's warbler ,Birds
Rothschild's starling ,Birds
Helmeted honeyeater,Birds
Maria Island snake,Reptiles
Cylindrical lioplax ,Snails
Chinese River Dolphin,Mammals
Lee County cave isopod,Crustaceans
Marine otter,Mammals
Long-tailed otter,Mammals
Southern river otter,Mammals
Chinese monal pheasant,Birds
Sclater's monal pheasant,Birds
Edward's pheasant,Birds
Imperial pheasant,Birds
Swinhoe's pheasant,Birds
Palila ,Birds
African elephant,Mammals
Akekee,Birds
Hawaii akepa,Birds
Maui akepa,Birds
Lotis blue butterfly,Insects
Karner blue butterfly,Insects
Hermes copper butterfly,Insects
African wild dog,Mammals
Mexican bobcat,Mammals
Canada Lynx,Mammals
Stump-tailed macaque,Mammals
Formosan rock macaque,Mammals
Japanese macaque,Mammals
Lion-tailed macaque,Mammals
Toque macaque,Mammals
Peppered chub,Fishes
Maleo megapode,Birds
Tasmanian forester kangaroo,Mammals
Parma wallaby,Mammals
Rabbit bandicoot,Mammals
Lesser rabbit bandicoot,Mammals
Ulugura bush-shrike,Birds
Ibadan malimbe,Birds
Drill,Mammals
Mandrill,Mammals
Blackburn's sphinx moth,Insects
Temnick''s ground Pangolin,Mammals
Louisiana pearlshell,Clams
Alabama pearlshell,Clams
Vancouver Island marmot,Mammals
Royal marstonia ,Snails
Armored snail,Snails
"Pacific Marten, Coastal Distinct Population Segment",Mammals
Formosan yellow-throated marten,Mammals
Alameda whipsnake ,Reptiles
Spikedace,Fishes
Alabama moccasinshell,Clams
Coosa moccasinshell,Clams
Gulf moccasinshell,Clams
Ochlockonee moccasinshell,Clams
Suwannee moccasinshell,Clams
yellow-eyed penguin,Birds
Crimson Hawaiian damselfly,Insects
Flying earwig Hawaiian damselfly,Insects
Blackline Hawaiian damselfly,Insects
Oceanic Hawaiian damselfly,Insects
Pacific Hawaiian damselfly,Insects
Orangeblack Hawaiian damselfly,Insects
Nicklin's pearlymussel,Clams
Micronesian megapode,Birds
Humpback whale,Mammals
Humpback whale,Mammals
Humpback whale,Mammals
Humpback whale,Mammals
Humpback whale,Mammals
Po`ouli ,Birds
Three-keeled Asian turtle,Reptiles
Black caiman,Reptiles
Waccamaw silverside,Fishes
Brazillian merganser,Birds
noonday snail,Snails
Spruce-fir moss spider,Arachnids
Amargosa vole,Mammals
Florida salt marsh vole,Mammals
Giant scops owl,Birds
Socorro mockingbird,Birds
Razor-billed curassow,Birds
Moapa dace,Fishes
Kauai `o`o ,Birds
Mediterranean monk seal,Mammals
Hawaiian monk seal,Mammals
No common name,Corals
Burmese peacock turtle,Reptiles
Musk deer,Mammals
Fea's muntjac,Mammals
Black-footed ferret,Mammals
Black-footed ferret,Mammals
Molokai thrush,Birds
Large Kauai  Thrush,Birds
Small Kauai  Thrush,Birds
Rough Cactus Coral,Corals
Wood stork,Birds
Gray bat,Mammals
Northern Long-Eared Bat,Mammals
Indiana bat,Mammals
Numbat,Mammals
Serow,Mammals
Goral,Mammals
Pagi Island langur,Mammals
Proboscis monkey,Mammals
Marungu sunbird,Birds
African viviparous toads,Amphibians
Black warrior  Waterdog,Amphibians
Neuse River waterdog,Amphibians
Cherry-throated tanager,Birds
Clouded leopard,Mammals
Southeastern rufous-vented ground cuckoo,Birds
Saint Francis' satyr butterfly,Insects
Mitchell's satyr Butterfly,Insects
Orange-bellied parakeet,Birds
Sand skink,Reptiles
Key Largo woodrat,Mammals
Riparian woodrat ,Mammals
Zanzibar suni,Mammals
Atlantic salt marsh snake,Reptiles
Copperbelly water snake,Reptiles
Aldabra Warbler ,Birds
Newcomb's Tree snail,Snails
American burying beetle,Insects
American burying beetle,Insects
Japanese crested ibis,Birds
Australian native mouse,Mammals
Palezone shiner,Fishes
Smalleye Shiner,Fishes
Cahaba shiner,Fishes
Arkansas River shiner,Fishes
Cape Fear shiner,Fishes
Sharpnose Shiner,Fishes
Pecos bluntnose shiner,Fishes
Topeka shiner,Fishes
Topeka shiner,Fishes
Smoky madtom,Fishes
Smoky madtom,Fishes
Chucky Madtom,Fishes
Yellowfin madtom,Fishes
Yellowfin madtom,Fishes
Yellowfin madtom,Fishes
Yellowfin madtom,Fishes
Carolina madtom,Fishes
Neosho madtom,Fishes
Pygmy madtom,Fishes
Pygmy madtom,Fishes
Scioto madtom,Fishes
Chittenango ovate amber snail,Snails
Eskimo curlew,Birds
Slender-billed curlew,Birds
Lesser slow loris,Mammals
Poweshiek skipperling,Insects
Choctaw bean,Clams
Ring pink ,Clams
Ring pink ,Clams
Band-rumped storm-petrel,Birds
Cedros Island mule Deer,Mammals
Key deer,Mammals
Columbian white-tailed deer,Mammals
Gorgeted wood-quail,Birds
Coho salmon,Fishes
Coho salmon,Fishes
Coho salmon,Fishes
Coho salmon,Fishes
Steelhead,Fishes
Steelhead,Fishes
Steelhead,Fishes
Steelhead,Fishes
Steelhead,Fishes
Steelhead,Fishes
Steelhead,Fishes
Steelhead,Fishes
Steelhead,Fishes
Steelhead,Fishes
Steelhead,Fishes
Steelhead,Fishes
Sockeye salmon,Fishes
Sockeye salmon,Fishes
Chinook salmon,Fishes
Chinook salmon,Fishes
Chinook salmon,Fishes
Chinook salmon,Fishes
Chinook salmon,Fishes
Chinook salmon,Fishes
Chinook salmon,Fishes
Chinook salmon,Fishes
Chinook salmon,Fishes
Little Kern golden trout,Fishes
Apache trout,Fishes
Lahontan cutthroat trout,Fishes
Paiute cutthroat trout,Fishes
Greenback Cutthroat trout,Fishes
Gila trout,Fishes
Chum salmon,Fishes
Chum salmon,Fishes
Brindled nail-tailed wallaby,Mammals
Crescent nail-tailed wallaby,Mammals
Lobed Star Coral,Corals
Mountainous Star Coral,Corals
Boulder star coral,Corals
Killer whale,Mammals
Nashville crayfish,Crustaceans
Akikiki,Birds
Hawaii creeper,Birds
Horned guan,Birds
Stock Island tree snail,Snails
Scimitar-horned oryx,Mammals
Arabian oryx,Mammals
Silver rice rat,Mammals
Congo dwarf crocodile,Reptiles
African dwarf crocodile,Reptiles
Snail [no common name],Snails
Morden's owlet,Birds
Seychelles scops owl,Birds
Anjouan scops owl,Birds
Argali,Mammals
Argali,Mammals
Peninsular bighorn sheep,Mammals
Sierra Nevada bighorn sheep,Mammals
Urial,Mammals
Shapo,Mammals
Pampas deer,Mammals
Shasta crayfish,Crustaceans
Squirrel Chimney Cave shrimp,Crustaceans
Alabama cave shrimp,Crustaceans
Kentucky cave shrimp,Crustaceans
crested honeycreeper ,Birds
Pygmy chimpanzee,Mammals
Chimpanzee,Mammals
Thailand giant catfish,Fishes
Catfish,Fishes
Tibetan antelope,Mammals
Lion,Mammals
Lion,Mammals
Jaguar,Mammals
Leopard,Mammals
Leopard,Mammals
Tiger,Mammals
Abbott's booby,Birds
Luzon peacock swallowtail butterfly,Insects
Homerus swallowtail butterfly,Insects
Corsican swallowtail butterfly,Insects
Manus Island tree snail,Snails
Brown Hyena,Mammals
Marbled cat,Mammals
Molokai creeper,Birds
Oahu creeper,Birds
Humped tree snail,Snails
Langford's tree snail,Snails
Guam tree snail,Snails
Lanai tree snail,Snails
Lanai tree snail,Snails
James spinymussel,Clams
Tar River spinymussel,Clams
No common name,Corals
Plains wanderer ,Birds
Littlewing pearlymussel,Clams
Fisher,Mammals
Puerto Rican crested toad,Amphibians
White-winged guan,Birds
Cauca guan,Birds
Ryukyu rabbit,Mammals
Barred bandicoot,Mammals
Desert bandicoot,Mammals
Amber darter,Fishes
Goldline darter,Fishes
Pearl darter,Fishes
Conasauga logperch,Fishes
Leopard darter,Fishes
Roanoke logperch,Fishes
Snail darter,Fishes
Pacific pocket mouse,Mammals
Key Largo cotton mouse,Mammals
Choctawhatchee beach mouse,Mammals
Alabama beach mouse,Mammals
Southeastern beach mouse,Mammals
St. Andrew beach mouse,Mammals
Anastasia Island beach mouse,Mammals
Perdido Key beach mouse,Mammals
Yellow-footed rock wallaby,Mammals
Scarlet-breasted robin ,Birds
Chatham Island robin,Birds
Ground parrot,Birds
Red-faced malkoha ,Birds
Red Hills salamander,Amphibians
Margaretta's hermit,Birds
Resplendent quetzel,Birds
Koala,Mammals
Day gecko,Reptiles
Round Island day gecko,Reptiles
Ringed Seal,Mammals
Ringed Seal,Mammals
Ringed seal,Mammals
Ringed Seal,Mammals
Saimaa seal,Mammals
Spotted Seal,Mammals
Cochito,Mammals
Short-tailed albatross,Birds
Andean flamingo,Birds
Blackside dace,Fishes
Brazilian sideneck turtle,Reptiles
Snake River physa snail,Snails
Sperm whale,Mammals
Peruvian plantcutter,Birds
White-necked rockfowl,Birds
Grey-necked rockfowl,Birds
Red-cockaded woodpecker,Birds
Red-capped parrot,Birds
Black-fronted piping-guan,Birds
Trinidad white-headed curassow,Birds
Inyo California towhee,Birds
Philippine eagle,Birds
Gurney's pitta,Birds
Koch's pitta,Birds
Black pinesnake,Reptiles
Louisiana pinesnake,Reptiles
Woundfin,Fishes
Woundfin,Fishes
Little planigale,Mammals
Southern planigale,Mammals
South Asian River dolphin,Mammals
Banded wattle-eye,Birds
White wartyback ,Clams
White wartyback ,Clams
Orangefoot pimpleback ,Clams
Orangefoot pimpleback ,Clams
Sheepnose Mussel,Clams
Jemez Mountains salamander,Amphibians
Cheat Mountain salamander,Amphibians
Shenandoah salamander,Amphibians
Clubshell,Clams
Clubshell,Clams
Black clubshell,Clams
Southern clubshell,Clams
Dark pigtoe,Clams
Southern pigtoe,Clams
Georgia pigtoe,Clams
Flat pigtoe,Clams
Ovate clubshell,Clams
Rough pigtoe,Clams
Rough pigtoe,Clams
Oval pigtoe,Clams
Fuzzy pigtoe,Clams
Heavy pigtoe,Clams
Rough hornsnail,Snails
Slabside Pearlymussel,Clams
Cumberland pigtoe,Clams
Clarke's weaver,Birds
Ibiza wall lizard,Reptiles
Junin grebe,Birds
Atitlan grebe,Birds
Tartaruga,Reptiles
Tracaja,Reptiles
Gila topminnow ,Fishes
Sri Lankan Ornamental Tarantula,Arachnids
Fringed Ornamental Tarantula,Arachnids
Kandy Parachute Spider,Arachnids
Ivory Ornamental Tarantula,Arachnids
Pederseni''s Tiger Spider,Arachnids
Coastal California gnatcatcher,Birds
Audubon's crested caracara,Birds
Virginia fringed mountain snail,Snails
Mount Hermon June beetle,Insects
Palawan peacock pheasant,Birds
Steller's Eider,Birds
Tahiti flycatcher,Birds
Orangutan,Mammals
Texas Hornshell,Clams
No common name,Corals
Fat pocketbook,Clams
Inflated heelsplitter,Clams
Long-tailed langur,Mammals
Purple-faced langur,Mammals
Mexican blindcat ,Fishes
Giant armadillo,Mammals
Leopard cat,Mammals
Iriomote cat,Mammals
Flat-headed cat,Mammals
Spotted linsang,Mammals
Dwarf sawfish,Fishes
Smalltooth sawfish,Fishes
Smalltooth sawfish,Fishes
Largetooth Sawfish,Fishes
Green sawfish,Fishes
Ikan temoleh ,Fishes
Panama City crayfish,Crustaceans
Anchialine pool Shrimp,Crustaceans
Zanzibar red colobus monkey,Mammals
Preuss' red colobus monkey,Mammals
Tana River red colobus monkey,Mammals
Sifakas,Mammals
Geometric turtle,Reptiles
Golden-shouldered parakeet,Birds
Paradise parakeet,Birds
Short-necked or western swamp turtle,Reptiles
Alabama red-bellied turtle,Reptiles
Plymouth Redbelly Turtle,Reptiles
Giant ibis,Birds
Fiji petrel,Birds
Carson wandering skipper,Insects
Field's mouse,Mammals
Smoky mouse,Mammals
Gould's mouse,Mammals
New Holland mouse,Mammals
Western mouse,Mammals
Shark Bay mouse,Mammals
Shortridge's mouse,Mammals
Maui parrotbill ,Birds
false killer whale,Mammals
Diamond Tryonia,Snails
Mauritius parakeet,Birds
`O`u ,Birds
Western whipbird,Birds
Mascarene black petrel,Birds
Chatham Island petrel,Birds
Bermuda petrel,Birds
Freira,Birds
Magenta petrel,Birds
Galapagos petrel,Birds
Hawaiian petrel,Birds
Giant otter,Mammals
Mariana fruit Bat ,Mammals
Rodrigues fruit bat ,Mammals
Little Mariana fruit Bat,Mammals
Triangular Kidneyshell,Clams
Southern kidneyshell,Clams
Fluted kidneyshell,Clams
Colorado pikeminnow ,Fishes
Colorado pikeminnow ,Fishes
Pudu,Mammals
Newell's Townsend's shearwater,Birds
Heinroth's shearwater,Birds
Puma ,Mammals
Florida panther,Mammals
Costa Rican puma,Mammals
Gulf Coast jaguarundi,Mammals
Sinaloan jaguarundi,Mammals
Douc langur,Mammals
San Bernardino springsnail,Snails
Bruneau Hot springsnail,Snails
Chupadera springsnail,Snails
Socorro springsnail,Snails
Roswell springsnail,Snails
Phantom Springsnail,Snails
Three Forks Springsnail,Snails
Laguna Mountains skipper,Insects
Fringe-backed fire-eye,Birds
Sao Miguel bullfinch ,Birds
Blue-throated  parakeet,Birds
Indian python,Reptiles
Rabbitsfoot,Clams
Rough rabbitsfoot,Clams
Winged Mapleleaf,Clams
Winged Mapleleaf,Clams
Stirrupshell,Clams
Slender-billed Grackle,Birds
Light-footed clapper rail,Birds
California clapper rail,Birds
Yuma Ridgway''s rail,Birds
Guam rail,Birds
Guam rail,Birds
Aukland Island rail,Birds
White-breasted thrasher,Birds
Hook-billed hermit ,Birds
Chiricahua leopard frog,Amphibians
California red-legged frog,Amphibians
Mountain yellow-legged frog,Amphibians
Mountain yellow-legged frog,Amphibians
Oregon spotted frog,Amphibians
dusky gopher frog,Amphibians
Sierra Nevada Yellow-legged Frog,Amphibians
Southern Mountain Caribou DPS,Mammals
Round Ebonyshell,Clams
Salt marsh harvest mouse,Mammals
[no common name] Beetle,Insects
[no common name] Beetle,Insects
Tooth Cave ground beetle,Insects
Delhi Sands flower-loving fly,Insects
Lesser rhea ,Birds
Independence Valley speckled dace,Fishes
Ash Meadows speckled dace,Fishes
Clover Valley speckled dace,Fishes
Kendall Warm Springs dace,Fishes
Javan rhinoceros,Mammals
Great Indian rhinoceros,Mammals
Tonkin snub-nosed monkey,Mammals
Yunnan snub-nosed monkey,Mammals
Guizhou snub-nosed monkey,Mammals
Sichuan snub-nosed monkey,Mammals
Jerdon's courser,Birds
Pink-headed duck,Birds
Thick-billed parrot,Birds
Kagu,Birds
Volcano rabbit,Mammals
Everglade snail kite,Birds
Ponape greater white-eye,Birds
Apennine chamois,Mammals
Pied tamarin,Mammals
White-footed tamarin,Mammals
Cotton-top tamarin,Mammals
Mongolian saiga ,Mammals
Red-backed squirrel monkey,Mammals
Ala balik ,Fishes
Atlantic salmon,Fishes
Bull Trout,Fishes
Bull Trout,Fishes
Fragile tree snail,Snails
San Esteban Island chuckwalla,Reptiles
Pallid sturgeon,Fishes
Shovelnose Sturgeon,Fishes
Alabama sturgeon,Fishes
Asian bonytongue,Fishes
Bocaccio,Fishes
canary rockfish,Fishes
yelloweye rockfish,Fishes
Gray  langur,Mammals
No common name,Corals
Quokka,Mammals
Elfin-woods warbler,Birds
golden-cheeked warbler,Birds
Eastern Massasauga ,Reptiles
Algerian nuthatch,Birds
Long-tailed marsupial-mouse,Mammals
Large desert marsupial-mouse,Mammals
Cuban solenodon,Mammals
Haitian solenodon,Mammals
Spectacled eider,Birds
Hine's emerald dragonfly,Insects
Buena Vista Lake ornate Shrew,Mammals
Kauai cave amphipod,Crustaceans
Alabama cavefish,Fishes
Callippe silverspot butterfly,Insects
Behren's silverspot butterfly,Insects
Oregon silverspot butterfly,Insects
Oregon silverspot butterfly,Insects
Myrtle's silverspot butterfly,Insects
African penguin,Birds
Humboldt penguin,Birds
Galapagos penguin,Birds
Brother's Island tuatara,Reptiles
Tuatara,Reptiles
Scalloped Hammerhead Shark,Fishes
Scalloped Hammerhead Shark,Fishes
Scalloped Hammerhead Shark,Fishes
Scalloped Hammerhead Shark,Fishes
Angel shark,Fishes
California least tern,Birds
Roseate tern,Birds
Roseate tern,Birds
Flattened musk turtle,Reptiles
Riverside fairy shrimp,Crustaceans
Seychelles turtle dove,Birds
Kakapo,Birds
Northern spotted owl,Birds
Mexican spotted owl,Birds
West African ostrich,Birds
Arabian ostrich,Birds
Bartram's hairstreak Butterfly,Insects
Peck's cave amphipod,Crustaceans
Hay's Spring amphipod,Crustaceans
Comal Springs dryopid beetle,Insects
Pygmy hog,Mammals
Riparian brush rabbit,Mammals
Lower Keys marsh rabbit,Mammals
Siamang,Mammals
California freshwater shrimp,Crustaceans
Elliot's pheasant,Birds
Bar-tailed pheasant,Birds
Mikado pheasant,Birds
Alaotra Grebe,Birds
Mount Graham red squirrel,Mammals
Miyako tango ,Fishes
Central American tapir,Mammals
Asian tapir,Mammals
Mountain tapir,Mammals
South American  tapir,Mammals
Philippine tarsier,Mammals
Tooth Cave pseudoscorpion,Arachnids
Bannerman's turaco,Birds
Western giant eland,Mammals
Bliss Rapids snail,Snails
Government Canyon Bat Cave spider,Arachnids
Tooth Cave spider,Arachnids
Laysan finch ,Birds
Nihoa finch ,Birds
Seychelles paradise flycatcher,Birds
Aquatic box turtle,Reptiles
Cantabrian capercaillie,Birds
Kretschmarr Cave mold beetle,Insects
Cokendolpher Cave Harvestman,Arachnids
Bee Creek Cave harvestman,Arachnids
Bone Cave harvestman,Arachnids
Eulachon,Fishes
Northern Mexican gartersnake,Reptiles
Giant garter snake,Reptiles
Narrow-headed gartersnake,Reptiles
San Francisco garter snake,Reptiles
Cumberland monkeyface ,Clams
Cumberland monkeyface ,Clams
Cumberland monkeyface ,Clams
Appalachian monkeyface ,Clams
Appalachian monkeyface ,Clams
Socorro isopod,Crustaceans
Gelada baboon,Mammals
New Zealand shore plover,Birds
Roy Prairie pocket gopher,Mammals
Olympia pocket gopher,Mammals
Tenino pocket gopher,Mammals
Yelm pocket gopher,Mammals
Tasmanian tiger,Mammals
Loach minnow,Fishes
Solitary tinamou,Birds
Tomistoma,Reptiles
Pale lilliput ,Clams
South American red-lined turtle,Reptiles
Inagua Island turtle,Reptiles
Cat Island turtle,Reptiles
Francois' langur,Mammals
Golden langur,Mammals
Capped Langur,Mammals
Blyth's tragopan pheasant,Birds
Cabot's tragopan pheasant,Birds
Western tragopan pheasant,Birds
Amazonian manatee,Mammals
West Indian Manatee,Mammals
West African manatee,Mammals
Long-legged warbler,Birds
Zayante band-winged grasshopper,Insects
Nordmann's greenshank,Birds
Flat-spired three-toothed Snail,Snails
Cuatro Cienegas softshell turtle,Reptiles
Indian softshell turtle,Reptiles
Peacock softshell turtle,Reptiles
Black softshell turtle,Reptiles
Guadeloupe house wren,Birds
St. Lucia house wren,Birds
Queen Alexandra's birdwing butterfly,Insects
Alamosa springsnail,Snails
Phantom Tryonia,Snails
Gonzales tryonia,Snails
No common name,Corals
Tulotoma snail,Snails
Taita thrush,Birds
New Zealand thrush ,Birds
Attwater's greater prairie-chicken,Birds
Madagascar red owl,Birds
Coachella Valley fringe-toed lizard,Reptiles
Snow leopard,Mammals
Long-tailed ground roller,Birds
Northern Idaho Ground Squirrel,Mammals
Santa Catalina Island Fox,Mammals
Brown bear,Mammals
Grizzly bear,Mammals
Brown bear,Mammals
Polar bear,Mammals
Baluchistan bear,Mammals
Mariana wandering butterfly,Insects
Indian  monitor,Reptiles
Yellow monitor,Reptiles
Desert monitor,Reptiles
Komodo Island monitor,Reptiles
Bachman's warbler ,Birds
Anchialine pool shrimp,Crustaceans
Vicuna,Mammals
Vicuna,Mammals
Rayed Bean,Clams
Purple bean,Clams
Cumberland bean ,Clams
Cumberland bean ,Clams
Cumberland bean ,Clams
Lar Valley viper,Reptiles
Least Bell's vireo,Birds
Malabar large-spotted civet,Mammals
San Joaquin kit fox,Mammals
Northern swift fox,Mammals
Sierra Nevada red fox,Mammals
Andean condor,Birds
Scaly-tailed possum,Mammals
New Zealand bushwren,Birds
Van Dam's vanga,Birds
Pollen's vanga,Birds
False water rat,Mammals
White-winged cotinga,Birds
Razorback sucker,Fishes
Western glacier stonefly,Insects
New Mexico meadow jumping mouse,Mammals
Preble's meadow jumping mouse,Mammals
Norfolk Island white-eye,Birds
Bridled white-eye,Birds
Seychelles white-eye,Birds
Rota bridled White-eye,Birds
Australian native mouse,Mammals
